"Cluster","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"PD (Down)","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","10/320","82/9400",0.121951219512195,3.58231707317073,4.40887747226481,0.000441200267185068,0.00703914971736176,0.00703914971736176,"HLA-E/B2M/HLA-A/HLA-C/CD74/CALR/CTSL/CANX/CTSB/TAPBP",10
"PD (Down)","Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","14/320","149/9400",0.0939597315436242,2.76006711409396,4.06537780576,0.000542731540866991,0.00813707830636602,0.00813707830636602,"MT-ND5/MT-ND4/GNB2/GNAI2/NDUFA5/ITPR1/CACNA1A/NDUFS3/MT-ND3/MGLL/NDUFB5/MT-ND2/MT-ND1/MT-ND4L",14
"PD (Down)","Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","7/320","43/9400",0.162790697674419,4.78197674418605,4.66613883730003,0.000556381422657506,0.00813707830636602,0.00813707830636602,"ALDH9A1/ALDH2/ACOX1/ECI2/ECHS1/ADH5/ACAA2",7
"PD (Down)","Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","19/320","248/9400",0.0766129032258065,2.25050403225806,3.74650072384943,0.000801035282857027,0.0112465353713127,0.0112465353713127,"TUBB2B/GAPDH/RIPK1/NOD1/MYL12B/ARF1/RHOB/ACTB/RHOA/TUBA1A/NFKBIA/DYNLT1/ACTG1/TUBB4B/TUBB2A/TUBB/TUBA1B/BRK1/RPS3",19
"PD (Down)","Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","10/320","89/9400",0.112359550561798,3.30056179775281,4.09358331175096,0.000850203074220549,0.0114712764390534,0.0114712764390534,"TUBB2B/GNAI2/GJA1/ITPR1/KRAS/TUBA1A/TUBB4B/TUBB2A/TUBB/TUBA1B",10
"PD (Down)","Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","19/320","250/9400",0.076,2.2325,3.70782539786464,0.000882405879927188,0.0114712764390534,0.0114712764390534,"ASAH1/NPC2/SCARB2/LAMP1/CD63/LAMTOR5/LAMTOR1/LAPTM4A/ATP6V0B/GPR155/NCOA7/ATP6V0E2/CTSL/PSAP/CD164/LAMTOR4/CTSF/VPS35/CTSB",19
"PD (Down)","Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","9/320","75/9400",0.12,3.525,4.1213593536475,0.000953656746234394,0.0119547684974383,0.0119547684974383,"IDH2/PKM/SDS/TALDO1/ENO1/PGAM1/GAPDH/GLUL/ALDOA",9
"PD (Down)","Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","15/320","187/9400",0.0802139037433155,2.35628342245989,3.51676712456716,0.0017822024978124,0.0215707957493846,0.0215707957493846,"MAP1LC3B/JAK1/GABARAPL2/IFI16/ITPR1/YWHAE/RIPK1/NOD1/NLRP1/STAT1/RHOA/NFKBIA/NAMPT/CTSB/TXNIP",15
"PD (Down)","Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","8/320","67/9400",0.119402985074627,3.50746268656716,3.86664354171072,0.00187470937665139,0.0218457517264074,0.0218457517264074,"PKM/ALDH9A1/ENO1/ALDH2/PGAM1/GAPDH/ALDOA/ADH5",8
"PD (Down)","Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","5/320","27/9400",0.185185185185185,5.43981481481481,4.33690909693102,0.00192939687612145,0.0218457517264074,0.0218457517264074,"HSD17B12/ACOX1/FADS2/HACD3/FADS1",5
"PD (Down)","Organismal Systems","Endocrine system","hsa04924","Renin secretion","8/320","69/9400",0.115942028985507,3.40579710144928,3.76523717272045,0.00226635433540073,0.0248590741164267,0.0248590741164267,"GNAI2/CALM1/ITPR1/ADCYAP1R1/AQP1/CALM3/AGT/CTSB",8
"PD (Down)","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","13/320","157/9400",0.0828025477707006,2.43232484076433,3.39748668464724,0.00268214064432865,0.0285282232169502,0.0285282232169502,"CCND3/HLA-E/CALM1/HLA-A/HLA-C/ITPR1/GADD45B/KRAS/CALM3/ZFP36L2/ZFP36L1/SLC25A5/GADD45A",13
"PD (Down)","Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","6/320","42/9400",0.142857142857143,4.19642857142857,3.89736444143699,0.00276845486189141,0.0285802251918789,0.0285802251918789,"MAP1LC3B/FTL/SLC39A14/GPX4/PRNP/FTH1",6
"PD (Down)","Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","10/320","105/9400",0.0952380952380952,2.79761904761905,3.47728673169621,0.00299048728627609,0.0296452882361031,0.0296452882361031,"MAP1LC3B/GABARAPL2/FIS1/BNIP3/KRAS/UBB/TOMM20/UBC/UBA52/PINK1",10
"PD (Down)","Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","7/320","57/9400",0.12280701754386,3.60745614035088,3.70667198000009,0.00304054238319006,0.0296452882361031,0.0296452882361031,"HSD17B12/ACOX1/FADS2/HACD3/ECHS1/FADS1/ACAA2",7
"PD (Down)","Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","5/320","31/9400",0.161290322580645,4.73790322580645,3.91322816330815,0.00363334101365257,0.0344676404268122,0.0344676404268122,"ALDH9A1/ALDH2/ACOX1/ALDH6A1/ECHS1",5
"PD (Down)","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","16/320","227/9400",0.0704845814977974,2.0704845814978,3.06485927181328,0.00466464466191895,0.043086586219304,0.043086586219304,"HLA-E/JAK1/GNB2/GNAI2/B2M/CALM1/HLA-A/HLA-C/ITPR1/RIPK1/KRAS/CALM3/RHOA/NFKBIA/CALR/TAPBP",16
