"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","celltype","contrast","direction"
"GO:0006935","chemotaxis","18/283","228/8692",0.0789473684210526,2.42477217779431,3.99927196282014,0.000450076697096138,0.0199508185159908,0.0199508185159908,"NRP1/PLEC/FGF2/CXCL14/BSG/SBDS/HMGB2/LGALS3/F3/SMAD3/RPS19/CD74/C3/PTN/YTHDF1/ANOS1/GSTP1/TUBB2B",18,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0001906","cell killing","10/283","86/8692",0.116279069767442,3.57136987427069,4.39611477630105,0.000454080306083131,0.0199508185159908,0.0199508185159908,"HLA-E/LAMP1/CXCL14/HMGN2/HLA-C/LGALS3/RPS19/TUBB/TUBB4B/HLA-A",10,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0071216","cellular response to biotic stimulus","12/283","119/8692",0.100840336134454,3.0971879918045,4.22571640698125,0.00047658520563937,0.0199739793008967,0.0199739793008967,"DAB2IP/TXNIP/TRIM5/TNFRSF1A/ZFP36/CASP7/SIRPA/HMGB2/SMAD3/VIM/B2M/GSTP1",12,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0002009","morphogenesis of an epithelium","14/283","154/8692",0.0909090909090909,2.79216190170254,4.11637983831686,0.000480739139729634,0.0199739793008967,0.0199739793008967,"CD44/NRP1/ACTG1/STAT1/NDRG4/FGF2/BSG/ACTB/RHOC/ARHGAP24/FGFR2/SOX9/DDR1/AGT",14,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0044344","cellular response to fibroblast growth factor stimulus","7/283","44/8692",0.159090909090909,4.88628332797944,4.74087902890151,0.000490547860785475,0.0199739793008967,0.0199739793008967,"CD44/FGF2/GPC1/ZFP36/ZFP36L2/FGFR2/FGFR3",7,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0034341","response to type II interferon","9/283","72/8692",0.125,3.83922261484099,4.43780257031774,0.00050957125349568,0.0199739793008967,0.0199739793008967,"PARP14/STAT1/GAPDH/PARP9/SIRPA/CD47/CD74/IFITM3/BST2",9,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0009612","response to mechanical stimulus","12/283","120/8692",0.1,3.07137809187279,4.19145528010221,0.00051446760964804,0.0199739793008967,0.0199739793008967,"TXNIP/PLEC/TUBA1A/TNFRSF1A/FGF2/CHI3L1/AQP1/GADD45A/FAS/SOX9/PTN/MAP3K14",12,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0030855","epithelial cell differentiation","18/283","231/8692",0.0779220779220779,2.39328163003075,3.93722260627134,0.000526357134260056,0.020257884141174,0.020257884141174,"NRP1/TXNIP/PLEC/STAT1/TNFRSF1A/CBR1/FGF2/CLIC4/ZFP36/EZR/CNN3/LGALS3/TUBB/FGFR2/SOX9/FSTL1/PSAP/GSTM3",18,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0006690","icosanoid metabolic process","7/283","45/8692",0.155555555555556,4.77769925402434,4.66076090383686,0.000564997307632097,0.0210141015426862,0.0210141015426862,"FABP5/TNFRSF1A/CBR1/FADS1/PNPLA8/CD74/GSTP1",7,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0050765","negative regulation of phagocytosis","4/283","13/8692",0.307692307692308,9.45039412883936,5.59332060520965,0.000623331345064457,0.0229905377771274,0.0229905377771274,"PLSCR1/SIRPA/CD47/SYT11",4,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0002228","natural killer cell mediated immunity","7/283","46/8692",0.152173913043478,4.67383622676294,4.58296994364485,0.000648158606733575,0.0235143442082197,0.0235143442082197,"HLA-E/LAMP1/HLA-C/B2M/TUBB/TUBB4B/HLA-A",7,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0007596","blood coagulation","11/283","107/8692",0.102803738317757,3.15749149631782,4.11933155062756,0.000692651391750099,0.0245254004790875,0.0245254004790875,"SERPINE2/SERPING1/ACTG1/PLSCR1/ACTB/ANGPTL4/RASA3/F3/PROS1/ADGRG1/MYH9",11,"Astrocyte","AD_vs_Ctrl","Down"
