"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"PD (Down)","GO:0031960","response to corticosteroid","12/511","63/8692",0.19047619047619,3.23995899729755,4.45935695626283,0.000254321967817515,0.00938024191300266,0.00938024191300266,"PARP1/ZFP36/MT-ND3/AQP1/KRAS/CALM3/RAN/ZFP36L2/ZFP36L1/FAM107A/IGFBP7/GSTP1",12
"PD (Down)","GO:0072593","reactive oxygen species metabolic process","17/511","112/8692",0.151785714285714,2.58184232597148,4.21085889024386,0.000268640939014641,0.00969996166235416,0.00969996166235416,"PARK7/GNAI2/MAOB/ACOX1/BNIP3/NDUFS3/SOD2/RIPK1/IFI6/RHOA/AGT/DCXR/PRDX1/GSTP1/GADD45A/PINK1/CBR1",17
"PD (Down)","GO:0030097","hemopoiesis","44/511","438/8692",0.100456621004566,1.70874549857473,3.80397159462961,0.000302998729702617,0.0108150998198692,0.0108150998198692,"LMO2/PBXIP1/ISG15/JAK1/ID2/XRCC6/CEBPB/SBDS/IFI16/HMGB2/PARP1/LRRC8A/MFHAS1/ZFP36/LGALS1/PSMB1/PTN/RIPK1/TSC22D1/TMEM176B/TMSB4X/CIB1/ACTB/JUNB/ZFP36L2/STAT1/RHOA/CD74/ZFP36L1/SOCS3/SLC25A5/MXRA7/CD81/FGFR2/CTSL/GLUL/HES1/RPS19/NEDD9/PSMA7/VSIR/CD164/PINK1/ETV6",44
"PD (Down)","GO:0048857","neural nucleus development","9/511","39/8692",0.230769230769231,3.92533493903357,4.57579625560612,0.00033874177455398,0.0118989769379041,0.0118989769379041,"CCDC14/CALM1/MAOB/YWHAE/NDUFS3/CALM3/ACTB/CKB/RHOA",9
"PD (Down)","GO:0120254","olefinic compound metabolic process","11/511","56/8692",0.196428571428571,3.3412077159631,4.39258093341179,0.000345762508839507,0.0119558192509661,0.0119558192509661,"PNPLA8/DHRS7/EPHX1/HSD17B6/MGLL/FADS2/GPX4/DKK3/MGST3/GSTP1/FADS1",11
"PD (Down)","GO:0051602","response to electrical stimulus","6/511","18/8692",0.333333333333333,5.66992824527071,4.95654301937364,0.000405113980187407,0.0136872860786982,0.0136872860786982,"HPCA/MT-CO1/AKAP12/SOD2/CALR/BTG2",6
"PD (Down)","GO:0001817","regulation of cytokine production","41/511","405/8692",0.101234567901235,1.72197820782296,3.71873353253812,0.000414811418448357,0.0138041754740784,0.0138041754740784,"FN1/C3/CLU/HLA-E/BST2/ISG15/PARK7/CD47/CEBPB/B2M/IFI16/HMGB2/SYT11/LAMTOR5/HLA-A/SELENOS/AKAP12/PML/F3/ZFP36/PSMB1/GAPDH/RIPK1/NOD1/NLRP1/STAT1/PRNP/AGT/CD74/BSG/NFKBIA/TMED10/CD81/ATP6AP2/C1QBP/DDX3X/GSTP1/PSMA7/VSIR/PLAGL1/TMEM219",41
"PD (Down)","GO:0001816","cytokine production","41/511","410/8692",0.1,1.70097847358121,3.63388454896016,0.000533558448496,0.0169894222521101,0.0169894222521101,"FN1/C3/CLU/HLA-E/BST2/ISG15/PARK7/CD47/CEBPB/B2M/IFI16/HMGB2/SYT11/LAMTOR5/HLA-A/SELENOS/AKAP12/PML/F3/ZFP36/PSMB1/GAPDH/RIPK1/NOD1/NLRP1/STAT1/PRNP/AGT/CD74/BSG/NFKBIA/TMED10/CD81/ATP6AP2/C1QBP/DDX3X/GSTP1/PSMA7/VSIR/PLAGL1/TMEM219",41
"PD (Down)","GO:0014902","myotube differentiation","13/511","78/8692",0.166666666666667,2.83496412263536,4.06831501587758,0.000559046374437326,0.0175472766220483,0.0175472766220483,"RPL7A/RPL41/CD9/RPL13/RPL28/PLEC/RPL15/CD81/RPL18/UBA52/RPL29/RPL19/RPL8",13
"PD (Down)","GO:0032103","positive regulation of response to external stimulus","37/511","359/8692",0.103064066852368,1.75309759115613,3.64199982467534,0.000562971821132142,0.0175472766220483,0.0175472766220483,"TRIM5/HLA-E/PARK7/PLSCR1/CD47/XRCC6/CEBPB/IFI16/HMGB2/PARP1/LAMP1/MFHAS1/OSMR/HLA-C/F3/YWHAE/LGALS1/NUPR1/PTN/RIPK1/NOD1/TMSB4X/PARP9/DAB2IP/NLRP1/AGT/CD74/NFKBIA/CD81/CALR/C1QBP/FGF2/VEGFB/RPS19/DDX3X/NEDD9/ZDHHC3",37
"PD (Down)","GO:0040007","growth","38/511","373/8692",0.101876675603217,1.73290032161089,3.61581244107475,0.000595190455775241,0.0182259796196966,0.0182259796196966,"CCDC85B/CGRRF1/MTPN/BST2/BTG1/CD9/ENO1/GJA1/WFS1/PML/SDCBP/PTN/LAMTOR1/KRAS/CIB1/PPIB/AGT/PLEC/BSG/FAM107A/ERBB2/CD81/FGFR2/IGFBP7/FGF2/CD38/RACK1/PSAP/DDX3X/DAG1/TSC22D4/PPP2R1A/CFL1/VIM/APOE/SLIT1/OSGIN2/SOX9",38
"PD (Down)","GO:0002920","regulation of humoral immune response","5/511","13/8692",0.384615384615385,6.54222489838928,4.99761855921983,0.000597100552384999,0.0182259796196966,0.0182259796196966,"CD59/C3/CLU/SERPING1/C1QBP",5
